"Campaign name","Ad set name","Ad name",Age,Gender,"Result Type",Results,"CTR (all)","Result rate","Amount spent (INR)","Cost per result",Frequency,"CPM (cost per 1,000 impressions)",Impressions,"Clicks (all)","Reporting starts","Reporting ends"
"CV - Franchise Lead Generation - Phase II - 3 Nov",Remarketing,"Image-Partner with us today!",35-44,male,"On-Facebook leads",8,1.98165138,0.14678899082569,468.93,58.61625,2.9238197424893,86.04220183,5450,108,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov","IT Professionals","Image-60+ Franchise Stores across Maharashtra",25-34,male,"On-Facebook leads",6,0.9762309,0.12733446519525,506.24,84.373333333333,1.8327499027616,107.43633277,4712,46,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov",Remarketing,"Video-Own a Chicken Store Today",35-44,male,"On-Facebook leads",12,4.65838509,0.2661934338953,575.51,47.959166666667,3.2017045454545,127.66415262,4508,210,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov",Remarketing,"Image-60+ Franchise Stores across Maharashtra",18-24,male,"On-Facebook leads",3,1.22576332,0.066859817249833,374.4,124.8,1.9441074523397,83.44105193,4487,55,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov",Remarketing,"Image-Minimum Investment & Maximum Profit",35-44,male,"On-Facebook leads",17,3.5666218,0.38133692238672,549.58,32.328235294118,2.524348810872,123.27949753,4458,159,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov",Remarketing,"Image-No. 1 Franchise Opportunity",18-24,male,"On-Facebook leads",7,1.57678245,0.1599634369287,385.77,55.11,1.962331838565,88.15585009,4376,69,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov","Business Owners","Image-60+ Franchise Stores across Maharashtra",35-44,male,"On-Facebook leads",14,2.62668526,0.325430032543,705.78,50.412857142857,1.6648606811146,164.05857741,4302,113,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov",Remarketing,"Image-Own a Chicken Store Today",18-24,male,"On-Facebook leads",9,1.14033046,0.20944845240866,359.68,39.964444444444,1.7396761133603,83.7049104,4297,49,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov",Remarketing,"Image-Minimum Investment & Maximum Profit",35-44,male,"On-Facebook leads",10,3.714565,0.24437927663734,482.22,48.222,2.7135278514589,117.84457478,4092,152,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov",Remarketing,"Image-No. 1 Franchise Opportunity",35-44,male,"On-Facebook leads",8,2.45218244,0.1961745953899,454.89,56.86125,2.5908513341804,111.54732712,4078,100,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov",Remarketing,"Image-No. 1 Franchise Opportunity",25-34,male,"On-Facebook leads",7,2.47303341,0.1841620626151,385.02,55.002857142857,1.7878645343368,101.29439621,3801,94,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov",Remarketing,"Video-Own a Chicken Store Today",18-24,male,"On-Facebook leads",4,2.5801195,0.10863661053775,302.34,75.585,2.3909090909091,82.11298207,3682,95,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov",Remarketing,"Image-60+ Franchise Stores across Maharashtra",35-44,male,"On-Facebook leads",8,3.10142498,0.22352612461581,390.05,48.75625,2.2424812030075,108.98295613,3579,111,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov",Remarketing,"Image-Minimum Investment & Maximum Profit",25-34,male,"On-Facebook leads",4,1.4522219,0.1161777519605,306.12,76.53,1.789501039501,88.91083358,3443,50,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov","Business Owners","Video-No. 1 Franchise Opportunity",45-54,male,"On-Facebook leads",6,2.27494313,0.19499512512187,413.08,68.846666666667,2.7522361359571,134.24764381,3077,70,2019-11-01,2019-12-03
"CV - Franchise Lead Generation - Phase II - 3 Nov",Remarketing,"Image-Minimum Investment & Maximum Profit",35-44,male,"On-Facebook leads",8,2.24536284,0.26033192320208,334.98,41.8725,2.084803256445,109.00748454,3073,69,2019-11-01,2019-12-03
