Campaign name,Ad set name,Age,Gender,Results,CTR (all),Result rate,Amount spent (INR),Cost per result,Frequency,"CPM (cost per 1,000 impressions)",Impressions,Clicks (all),Ad Format,Ad Headline
CV - Franchise Lead Generation - Phase II - 3 Nov,Housewives,25-34,female,0.0,0.68027211,0.0,21.22,,1 to 2,144.3537415,147,1,Image,Minimum Investment & Maximum Profit
CV - Franchise Lead Generation - Phase II - 3 Nov,Business Owners,65+,male,0.0,0.0,0.0,18.20937599375,,2 to 3,128.23504221,142,0,Image,Minimum Investment & Maximum Profit
CV - Franchise Lead Generation - Phase II - 3 Nov,Housewives,35-44,female,1.0,2.83687943,0.7092198581560301,28.26,28.26,1 to 2,200.42553191,141,4,Image,60+ Franchise Stores across Maharashtra
CV - Franchise Lead Generation - Phase II - 3 Nov,Remarketing,25-34,male,0.0,2.14285714,0.0,23.87,,1 to 2,170.5,140,3,Image,60+ Franchise Stores across Maharashtra
CV - Franchise Lead Generation - Phase II - 3 Nov,Remarketing,35-44,female,0.0,4.28571429,0.0,29.66,,2 to 3,211.85714286,140,6,Video,Own a Chicken Store Today
CV - Franchise Lead Generation - Phase II - 3 Nov,Remarketing,35-44,female,0.0,0.76335878,0.0,21.87,,2 to 3,166.94656489,131,1,Image,No. 1 Franchise Opportunity
CV - Franchise Lead Generation - Phase II - 3 Nov,Remarketing,25-34,female,0.0,3.81679389,0.0,21.14,,1 to 2,161.3740458,131,5,Image,Minimum Investment & Maximum Profit
CV - Franchise Lead Generation - Phase II - 3 Nov,Remarketing,25-34,female,0.0,3.87596899,0.0,14.67,,2 to 3,113.72093023,129,5,Image,Minimum Investment & Maximum Profit
CV - Franchise Lead Generation - Phase II - 3 Nov,Remarketing,55-64,male,1.0,7.03125,0.78125,28.78,28.78,2 to 3,224.84375,128,9,Video,Own a Chicken Store Today
CV - Franchise Lead Generation - Phase II - 3 Nov,Business Owners,55-64,male,0.0,3.22580645,0.0,27.22,,1 to 2,219.51612903,124,4,Image,Own a Chicken Store Today
CV - Franchise Lead Generation - Phase II - 3 Nov,Remarketing,55-64,male,2.0,9.56521739,1.7391304347826002,24.41,12.205,2 to 3,212.26086957,115,11,Image,No. 1 Franchise Opportunity
CV - Franchise Lead Generation - Phase II - 3 Nov,IT Professionals,55-64,male,1.0,4.42477876,0.88495575221239,22.4,22.4,1 to 2,198.2300885,113,5,Video,No. 1 Franchise Opportunity
CV - Franchise Lead Generation - Phase II - 3 Nov,Business Owners,65+,male,1.0,6.25,0.89285714285714,12.82,12.82,2 to 3,114.46428571,112,7,Image,60+ Franchise Stores across Maharashtra
CV - Franchise Lead Generation - Phase II - 3 Nov,Housewives,25-34,female,1.0,4.46428571,0.89285714285714,21.38,21.38,1 to 2,190.89285714,112,5,Image,60+ Franchise Stores across Maharashtra
CV - Franchise Lead Generation - Phase II - 3 Nov,Business Owners,35-44,female,0.0,2.7027027,0.0,23.65,,1 to 2,213.06306306,111,3,Video,No. 1 Franchise Opportunity
CV - Franchise Lead Generation - Phase II - 3 Nov,IT Professionals,45-54,male,0.0,0.0,0.0,15.41,,1 to 2,138.82882883,111,0,Image,Partner with us today!
CV - Franchise Lead Generation - Phase II - 3 Nov,Remarketing,25-34,female,0.0,0.90909091,0.0,13.2,,1 to 2,120.0,110,1,Image,60+ Franchise Stores across Maharashtra
CV - Franchise Lead Generation - Phase II - 3 Nov,Remarketing,45-54,male,0.0,1.85185185,0.0,11.83,,1 to 2,109.53703704,108,2,Image,Minimum Investment & Maximum Profit
CV - Franchise Lead Generation - Phase II - 3 Nov,Business Owners,45-54,female,0.0,4.6728972,0.0,20.469298549811,,2 to 3,191.30185561,107,5,Image,Minimum Investment & Maximum Profit
CV - Franchise Lead Generation - Phase II - 3 Nov,IT Professionals,55-64,male,0.0,1.98019802,0.0,12.59,,1 to 2,124.65346535,101,2,Image,60+ Franchise Stores across Maharashtra
CV - Franchise Lead Generation - Phase II - 3 Nov,Remarketing,35-44,female,0.0,6.18556701,0.0,16.76,,2 to 3,172.78350515,97,6,Image,No. 1 Franchise Opportunity
CV - Franchise Lead Generation - Phase II - 3 Nov,Remarketing,35-44,female,1.0,7.29166667,1.0416666666667,17.03,17.03,1 to 2,177.39583333,96,7,Image,Minimum Investment & Maximum Profit
CV - Franchise Lead Generation - Phase II - 3 Nov,Remarketing,55-64,male,0.0,2.15053763,0.0,20.67,,2 to 3,222.25806452,93,2,Image,Minimum Investment & Maximum Profit
CV - Franchise Lead Generation - Phase II - 3 Nov,Remarketing,55-64,male,0.0,7.60869565,0.0,18.79,,2 to 3,204.23913043,92,7,Image,Minimum Investment & Maximum Profit
CV - Franchise Lead Generation - Phase II - 3 Nov,Remarketing,45-54,female,0.0,4.44444444,0.0,13.61,,1 to 2,151.22222222,90,4,Image,Minimum Investment & Maximum Profit
CV - Franchise Lead Generation - Phase II - 3 Nov,Business Owners,45-54,female,2.0,8.98876404,2.247191011236,18.43,9.215,1 to 2,207.07865169,89,8,Image,No. 1 Franchise Opportunity
CV - Franchise Lead Generation - Phase II - 3 Nov,Housewives,35-44,female,0.0,0.0,0.0,15.05,,1 to 2,172.98850575,87,0,Video,No. 1 Franchise Opportunity
CV - Franchise Lead Generation - Phase II - 3 Nov,Remarketing,35-44,female,0.0,3.48837209,0.0,10.79,,1 to 2,125.46511628,86,3,Image,60+ Franchise Stores across Maharashtra
CV - Franchise Lead Generation - Phase II - 3 Nov,Business Owners,65+,male,0.0,3.57142857,0.0,7.6,,1 to 2,90.47619048,84,3,Image,No. 1 Franchise Opportunity
CV - Franchise Lead Generation - Phase II - 3 Nov,Remarketing,25-34,female,0.0,1.19047619,0.0,16.76,,1 to 2,199.52380952,84,1,Image,60+ Franchise Stores across Maharashtra
CV - Franchise Lead Generation - Phase II - 3 Nov,Remarketing,35-44,male,0.0,1.20481928,0.0,11.99,,1 to 2,144.45783133,83,1,Image,60+ Franchise Stores across Maharashtra
CV - Franchise Lead Generation - Phase II - 3 Nov,IT Professionals,45-54,female,0.0,0.0,0.0,13.55,,1 to 2,165.24390244,82,0,Image,Minimum Investment & Maximum Profit
CV - Franchise Lead Generation - Phase II - 3 Nov,IT Professionals,25-34,female,0.0,1.2195122,0.0,16.67,,1 to 2,203.29268293,82,1,Image,60+ Franchise Stores across Maharashtra
CV - Franchise Lead Generation - Phase II - 3 Nov,Remarketing,55-64,male,0.0,0.0,0.0,13.02,,2 to 3,158.7804878,82,0,Image,Partner with us today!
CV - Franchise Lead Generation - Phase II - 3 Nov,Business Owners,25-34,female,0.0,1.2345678999999998,0.0,10.29,,1 to 2,127.03703704,81,1,Video,No. 1 Franchise Opportunity
CV - Franchise Lead Generation - Phase II - 3 Nov,Housewives,45-54,female,0.0,1.26582278,0.0,12.71,,1 to 2,160.88607595,79,1,Image,Minimum Investment & Maximum Profit
CV - Franchise Lead Generation - Phase II - 3 Nov,IT Professionals,25-34,female,0.0,2.63157895,0.0,19.71,,1 to 2,259.34210526,76,2,Video,No. 1 Franchise Opportunity
CV - Franchise Lead Generation - Phase II - 3 Nov,Remarketing,55-64,male,0.0,2.63157895,0.0,19.2,,1 to 2,252.63157895,76,2,Image,Minimum Investment & Maximum Profit
CV - Franchise Lead Generation - Phase II - 3 Nov,Business Owners,35-44,female,0.0,0.0,0.0,19.41,,1 to 2,255.39473684,76,0,Image,Own a Chicken Store Today
CV - Franchise Lead Generation - Phase II - 3 Nov,IT Professionals,65+,male,0.0,1.33333333,0.0,6.65,,1 to 2,88.66666667,75,1,Image,60+ Franchise Stores across Maharashtra
CV - Franchise Lead Generation - Phase II - 3 Nov,IT Professionals,35-44,female,0.0,1.33333333,0.0,16.56,,1 to 2,220.8,75,1,Video,No. 1 Franchise Opportunity
CV - Franchise Lead Generation - Phase II - 3 Nov,Remarketing,35-44,female,0.0,0.0,0.0,11.04,,1 to 2,149.18918919,74,0,Image,Minimum Investment & Maximum Profit
